BAS_SCENARIO,BAS_GRP_CD,BAS_RSN_CD,BAS_CONTR_PYR,BAS_CHG_IND,BAS_NEW_GRP_CD,BAS_NEW_RSN_CD
1,CO,129,Y,MOD,CO,45
1,CO,13,Y,MOD,CO,45
1,CO,130,Y,MOD,CO,45
1,CO,131,Y,MOD,CO,45
1,CO,132,Y,MOD,CO,45
1,CO,133,Y,MOD,CO,45
1,CO,134,Y,MOD,CO,45
1,CO,135,Y,MOD,CO,45
1,CO,136,Y,MOD,CO,45
1,CO,137,Y,MOD,CO,45
1,CO,138,Y,MOD,CO,45
1,CO,139,Y,MOD,CO,45
1,CO,14,Y,MOD,CO,45
1,CO,140,Y,MOD,CO,45
1,CO,141,Y,MOD,CO,45
1,CO,142,Y,MOD,CO,45
1,CO,143,Y,MOD,CO,45
1,CO,144,Y,MOD,CO,45
1,CO,145,Y,MOD,CO,45
1,CO,146,Y,MOD,CO,45
1,CO,147,Y,MOD,CO,45
1,CO,148,Y,MOD,CO,45
1,CO,149,Y,MOD,CO,45
1,CO,15,Y,MOD,CO,45
1,CO,150,Y,MOD,CO,45
1,CO,151,Y,MOD,CO,45
1,CO,152,Y,MOD,CO,45
1,CO,153,Y,MOD,CO,45
1,CO,154,Y,MOD,CO,45
1,CO,155,Y,MOD,CO,45
1,CO,156,Y,MOD,CO,45
1,CO,157,Y,MOD,CO,45
1,CO,158,Y,MOD,CO,45
1,CO,159,Y,MOD,CO,45
1,CO,16,Y,MOD,CO,45
1,CO,160,Y,MOD,CO,45
1,CO,161,Y,MOD,CO,45
1,CO,162,Y,MOD,CO,45
1,CO,163,Y,MOD,CO,45
1,CO,164,Y,MOD,CO,45
1,CO,165,Y,MOD,CO,45
1,CO,166,Y,MOD,CO,45
1,CO,167,Y,MOD,CO,45
1,CO,168,Y,MOD,CO,45
1,CO,169,Y,MOD,CO,45
1,CO,17,Y,MOD,CO,45
1,CO,170,Y,MOD,CO,45
1,CO,171,Y,MOD,CO,45
1,CO,172,Y,MOD,CO,45
1,CO,173,Y,MOD,CO,45
1,CO,174,Y,MOD,CO,45
1,CO,175,Y,MOD,CO,45
1,CO,176,Y,MOD,CO,45
1,CO,177,Y,MOD,CO,45
1,CO,178,Y,MOD,CO,45
1,CO,179,Y,MOD,CO,45
1,CO,18,Y,MOD,CO,45
1,CO,180,Y,MOD,CO,45
1,CO,181,Y,MOD,CO,45
1,CO,182,Y,MOD,CO,45
1,CO,183,Y,MOD,CO,45
1,CO,184,Y,MOD,CO,45
1,CO,185,Y,MOD,CO,45
1,CO,186,Y,MOD,CO,45
1,CO,187,Y,MOD,CO,45
1,CO,188,Y,MOD,CO,45
1,CO,189,Y,MOD,CO,45
1,CO,19,Y,MOD,CO,45
1,CO,190,Y,MOD,CO,45
1,CO,191,Y,MOD,CO,45
1,CO,192,Y,MOD,CO,45
1,CO,193,Y,MOD,CO,45
1,CO,194,Y,MOD,CO,45
1,CO,195,Y,MOD,CO,45
1,CO,196,Y,MOD,CO,45
1,CO,197,Y,MOD,CO,45
1,CO,198,Y,MOD,CO,45
1,CO,199,Y,MOD,CO,45
1,CO,2,Y,MOD,CO,45
1,CO,20,Y,MOD,CO,45
1,CO,200,Y,MOD,CO,45
1,CO,201,Y,MOD,CO,45
1,CO,202,Y,MOD,CO,45
1,CO,203,Y,MOD,CO,45
1,CO,204,Y,MOD,CO,45
1,CO,205,Y,MOD,CO,45
1,CO,206,Y,MOD,CO,45
1,CO,207,Y,MOD,CO,45
1,CO,208,Y,MOD,CO,45
1,CO,209,Y,MOD,CO,45
1,CO,21,Y,MOD,CO,45
1,CO,210,Y,MOD,CO,45
1,CO,211,Y,MOD,CO,45
1,CO,212,Y,MOD,CO,45
1,CO,213,Y,MOD,CO,45
1,CO,214,Y,MOD,CO,45
1,CO,215,Y,MOD,CO,45
1,CO,216,Y,MOD,CO,45
1,CO,217,Y,MOD,CO,45
1,CO,218,Y,MOD,CO,45
1,CO,219,Y,MOD,CO,45
1,CO,22,Y,MOD,CO,45
1,CO,220,Y,MOD,CO,45
1,CO,221,Y,MOD,CO,45
1,CO,222,Y,MOD,CO,45
1,CO,223,Y,MOD,CO,45
1,CO,224,Y,MOD,CO,45
1,CO,225,Y,MOD,CO,45
1,CO,226,Y,MOD,CO,45
1,CO,227,Y,MOD,CO,45
1,CO,228,Y,MOD,CO,45
1,CO,229,Y,MOD,CO,45
1,CO,23,Y,MOD,CO,45
1,CO,230,Y,MOD,CO,45
1,CO,231,Y,MOD,CO,45
1,CO,232,Y,MOD,CO,45
1,CO,233,Y,MOD,CO,45
1,CO,234,Y,MOD,CO,45
1,CO,235,Y,MOD,CO,45
1,CO,236,Y,MOD,CO,45
1,CO,237,Y,MOD,CO,45
1,CO,238,Y,MOD,CO,45
1,CO,239,Y,MOD,CO,45
1,CO,24,Y,MOD,CO,45
1,CO,240,Y,MOD,CO,45
1,CO,241,Y,MOD,CO,45
1,CO,242,Y,MOD,CO,45
1,CO,243,Y,MOD,CO,45
1,CO,244,Y,MOD,CO,45
1,CO,245,Y,MOD,CO,45
1,CO,246,Y,MOD,CO,45
1,CO,247,Y,MOD,CO,45
1,CO,248,Y,MOD,CO,45
1,CO,249,Y,MOD,CO,45
1,CO,25,Y,MOD,CO,45
1,CO,250,Y,MOD,CO,45
1,CO,251,Y,MOD,CO,45
1,CO,252,Y,MOD,CO,45
1,CO,26,Y,MOD,CO,45
1,CO,27,Y,MOD,CO,45
1,CO,28,Y,MOD,CO,45
1,CO,29,Y,MOD,CO,45
1,CO,3,Y,MOD,CO,45
1,CO,30,Y,MOD,CO,45
1,CO,31,Y,MOD,CO,45
1,CO,32,Y,MOD,CO,45
1,CO,33,Y,MOD,CO,45
1,CO,34,Y,MOD,CO,45
1,CO,35,Y,MOD,CO,45
1,CO,36,Y,MOD,CO,45
1,CO,37,Y,MOD,CO,45
1,CO,38,Y,MOD,CO,45
1,CO,39,Y,MOD,CO,45
1,CO,4,Y,MOD,CO,45
1,CO,40,Y,MOD,CO,45
1,CO,41,Y,MOD,CO,45
1,CO,42,Y,MOD,CO,45
1,CO,43,Y,MOD,CO,45
1,CO,44,Y,MOD,CO,45
1,CO,45,Y,KEEP,,
1,CO,46,Y,MOD,CO,45
1,CO,47,Y,MOD,CO,45
1,CO,48,Y,MOD,CO,45
1,CO,49,Y,MOD,CO,45
1,CO,5,Y,MOD,CO,45
1,CO,50,Y,MOD,CO,45
1,CO,51,Y,MOD,CO,45
1,CO,52,Y,MOD,CO,45
1,CO,53,Y,MOD,CO,45
1,CO,54,Y,MOD,CO,45
1,CO,55,Y,MOD,CO,45
